long_name,short_name,longcode,model_family,model_provider,model_provider_type,model_type,default_params,selected_params,header,link,in_yaml,params_tested,endpoint_live,status
claude-2,claude-2,CL2,Anthropic,Anthropic,Commerical,Chat,"{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}","{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.anthropic.com/claude/docs/legacy-model-guide,Yes,Yes,Yes,Deployed Successfully
claude-2.1,claude-2.1,CL2*,Anthropic,Anthropic,Commerical,Chat,"{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}","{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.anthropic.com/claude/docs/legacy-model-guide,Yes,Yes,Yes,Deployed Successfully
claude-instant-1,claude-instant-1,CL1,Anthropic,Anthropic,Commerical,Chat,"{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}","{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.anthropic.com/claude/docs/legacy-model-guide,Yes,Yes,Yes,Deployed Successfully
command,command,COM,Cohere,Cohere,Commerical,Instruct,{'temperature': '0.3'},"{'temperature': '1.0', 'max_tokens': '256', 'top_k': '5', 'top_p': '0.9'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.cohere.com/docs/models,Yes,Yes,Yes,Deployed Successfully
command-light,command-light,COML,Cohere,Cohere,Commerical,Instruct,{'temperature': '0.3'},"{'temperature': '1.0', 'max_tokens': '256', 'top_k': '5', 'top_p': '0.9'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.cohere.com/docs/models,Yes,Yes,Yes,Deployed Successfully
command-nightly,command-nightly,COMN,Cohere,Cohere,Commerical,Instruct,{'temperature': '0.3'},"{'temperature': '1.0', 'max_tokens': '256', 'top_k': '5', 'top_p': '0.9'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.cohere.com/docs/models,Yes,Yes,Yes,Deployed Successfully
google/flan-t5-xxl,flan-t5-xxl,FLAN,Google,HuggingFace-API,Open Access,Instruct,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/google/flan-t5-xxl,Yes,Yes,Yes,Deployed Successfully
gpt-3.5-turbo,gpt-3.5-turbo,GP3*,OpenAI,OpenAI,Commerical,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://platform.openai.com/docs/models/gpt-3-5 ,Yes,Yes,Yes,Deployed Successfully
gpt-4,gpt-4,GPT4,OpenAI,OpenAI,Commerical,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,Yes,Yes,Yes,Deployed Successfully
gpt-4-1106-preview,gpt-4-turbo,GPT4*,OpenAI,OpenAI,Commerical,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,Yes,Yes,Yes,Deployed Successfully
HuggingFaceH4/zephyr-7b-beta,zephyr-7b-beta,ZEPH,HuggingFace,HuggingFace-API,Open Access,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 1}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,Yes,Yes,Yes,Deployed
luminous-extended-control,luminous-extended-control,LUMX,Aleph Alpha,Aleph,Commerical,Instruct,"{'temperature': '0.0', 'top_p': '0.0', 'max_tokens': '64', 'top_k': '0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '0.0', 'max_tokens': '256', 'top_k': '0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.aleph-alpha.com/docs/introduction/luminous/,Yes,Yes,Yes,Deployed Successfully
luminous-supreme-control,luminous-supreme-control,LUMS,Aleph Alpha,Aleph,Commerical,Instruct,"{'temperature': '0.0', 'top_p': '0.0', 'max_tokens': '64', 'top_k': '0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '0.0', 'max_tokens': '256', 'top_k': '0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.aleph-alpha.com/docs/introduction/luminous/,Yes,Yes,Yes,Deployed Successfully
meta-llama/Llama-2-13b-chat-hf,llama-2-13b-chat,LL13,Meta,HuggingFace-API,Open Access,Chat,"{'temperature': '0.6', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '0', 'max_tokens': 'None', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,Yes,Yes,Yes,Deployed Successfully (but fails intermittently)
meta-llama/Llama-2-70b-chat-hf,llama-2-70b-chat,LL70,Meta,HuggingFace-API,Open Access,Chat,"{'temperature': '0.6', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '0', 'max_tokens': 'None', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,Yes,Yes,Yes,Deployed Successfully
meta-llama/Llama-2-7b-chat-hf,llama-2-7b-chat,LL7,Meta,HuggingFace-API,Open Access,Chat,"{'temperature': '0.6', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '0', 'max_tokens': 'None', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf,Yes,Yes,Yes,Deployed Successfully
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct,MIST,Mistral,HuggingFace-API,Open Access,Instruct,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 1, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1,Yes,Yes,Yes,Deployed Successfully
models/chat-bison-001,palm-2,PALM,Google,Google,Commerical,Chat,"{'temperature': '0.0', 'top_p': '0.9', 'max_tokens': '1024', 'top_k': '40'}","{'temperature': '1.0', 'top_p': '0.9', 'max_tokens': '256', 'top_k': '40'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://ai.google.dev/palm_docs,Yes,Yes,Yes,Deployed Successfully
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,pythia-12b,PYTH,Other OA,HuggingFace-API,Open Access,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 1, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,Yes,Yes,Yes,Deployed Successfully
tiiuae/falcon-7b-instruct,falcon-7b-instruct,FAL7,Other OA,HuggingFace-API,Open Access,Instruct,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 1, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/tiiuae/falcon-7b-instruct,Yes,Yes,Yes,Deployed Successfully
timdettmers/guanaco-33b-merged,guanaco-33b,GUAN,Other OA,HuggingFace-API,Open Access,Instruct,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 1, 'is_zephyr': 0}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/timdettmers/guanaco-33b-merged,Yes,Yes,Yes,Deployed Successfully
